Symbol,series,open_price,high_price,low_price,Last Price,Previous Price,net_price,Volume,Turnover (Cr),market_type,ca_ex_dt,ca_purpose,% Change
JIOFIN,EQ,304.8,312.4,304.1,309.3,303.3,1.98,23474154,72776.9196462,N,-,-,1.98
BAJFINANCE,EQ,930.0,953.5,928.5,943.5,928.0,1.67,5035432,47538.0028824,N,16-Jun-2025,Bonus 4:1,1.67
ETERNAL,EQ,259.42,263.25,258.95,262.28,258.86,1.32,18432440,48311.42524,N,-,-,1.32
ADANIPORTS,EQ,1399.0,1413.3,1395.2,1410.9,1393.1,1.28,756350,10629.59163,N,13-Jun-2025,Dividend - Rs 7 Per Share,1.28
BHARTIARTL,EQ,1970.0,2009.9,1966.3,1987.0,1965.6,1.09,3436113,68399.95260060001,N,07-Aug-2024,Dividend - Rs 8 Per Share,1.09
NTPC,EQ,332.4,335.45,331.3,334.2,330.85,1.01,4188139,13976.657470799999,N,31-Jan-2025,Interim Dividend - Rs 2.50 Per Share,1.01
RELIANCE,EQ,1469.1,1488.0,1465.1,1481.9,1467.3,1.0,4781230,70755.510278,N,28-Oct-2024,Bonus 1:1,1.0
ADANIENT,EQ,2535.0,2554.7,2522.2,2552.0,2527.2,0.98,481366,12215.9619382,N,13-Jun-2025,Dividend - Rs 1.30 Per Share,0.98
ULTRACEMCO,EQ,11690.0,11986.0,11681.0,11848.0,11733.0,0.98,261777,31070.8880394,N,30-Jul-2024,Annual General Meeting/Dividend - Rs 70 Per Share,0.98
GRASIM,EQ,2840.0,2889.6,2832.0,2857.0,2831.8,0.89,710381,20351.5631928,N,06-Aug-2024,Annual General Meeting/Dividend - Rs 10 Per Share,0.89
HDFCBANK,EQ,1981.4,1999.9,1980.0,1997.3,1980.2,0.86,5081947,101199.35158450001,N,27-Jun-2025,Dividend - Rs 22 Per Share,0.86
HINDALCO,EQ,674.1,683.8,672.7,678.25,672.65,0.83,2856240,19402.43832,N,09-Aug-2024,Annual General Meeting/Dividend - Rs 3.5 Per Share,0.83
HDFCLIFE,EQ,789.0,798.5,785.6,791.55,785.1,0.82,1767095,13995.745819000002,N,20-Jun-2025,Dividend - Rs 2.10 Per Share,0.82
TATAMOTORS,EQ,677.0,680.2,674.45,679.8,674.5,0.79,4642311,31453.5139494,N,04-Jun-2025,Dividend - Rs 6 Per Share,0.79
AXISBANK,EQ,1215.2,1223.9,1211.2,1222.7,1213.3,0.77,1540987,18795.418439,N,12-Jul-2024,Dividend - Re 1 Per Share,0.77
SHRIRAMFIN,EQ,675.15,687.65,674.25,680.0,675.1,0.73,3648821,24841.173368000003,N,31-Jan-2025,Interim Dividend - Rs 2.50 Per Share,0.73
BAJAJFINSV,EQ,2018.0,2043.9,2011.8,2024.5,2011.8,0.63,676555,13728.65406,N,27-Jun-2025,Dividend - Re 1 Per Share,0.63
SBILIFE,EQ,1850.0,1863.7,1842.7,1853.6,1842.7,0.59,296127,5492.445145199999,N,07-Mar-2025,Interim Dividend - Rs 2.70 Per Share,0.59
TITAN,EQ,3655.0,3686.0,3644.0,3671.2,3652.2,0.52,613195,22506.831919,N,27-Jun-2024,Annual General Meeting/Dividend - Rs 11 Per Share,0.52
BEL,EQ,408.95,413.9,406.85,408.0,406.05,0.48,15579950,63922.976855,N,11-Mar-2025,Interim Dividend - Rs 1.5 Per Share,0.48
